veh.pt_type.ConventionalVehicle.fc.history.i,veh.pt_type.ConventionalVehicle.fc.history.pwr_out_max_watts,veh.pt_type.ConventionalVehicle.fc.history.pwr_prop_max_watts,veh.pt_type.ConventionalVehicle.fc.history.eff,veh.pt_type.ConventionalVehicle.fc.history.pwr_propulsion_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_propulsion_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_aux_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_aux_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_fuel_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_fuel_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_loss_joules,veh.pt_type.ConventionalVehicle.fc.history.fc_on,veh.pt_type.ConventionalVehicle.fc.history.time_on_seconds,veh.pt_type.ConventionalVehicle.transmission.history.i,veh.pt_type.ConventionalVehicle.transmission.history.eff,veh.pt_type.ConventionalVehicle.transmission.history.pwr_out_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_in_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.transmission.history.energy_out_joules,veh.pt_type.ConventionalVehicle.transmission.history.energy_loss_joules,veh.history.i,veh.history.pwr_prop_fwd_max_watts,veh.history.pwr_prop_bwd_max_watts,veh.history.pwr_tractive_watts,veh.history.pwr_tractive_for_cyc_watts,veh.history.energy_tractive_joules,veh.history.pwr_aux_watts,veh.history.energy_aux_joules,veh.history.pwr_drag_watts,veh.history.energy_drag_joules,veh.history.pwr_accel_watts,veh.history.energy_accel_joules,veh.history.pwr_ascent_watts,veh.history.energy_ascent_joules,veh.history.pwr_rr_watts,veh.history.energy_rr_joules,veh.history.pwr_whl_inertia_watts,veh.history.energy_whl_inertia_joules,veh.history.pwr_brake_watts,veh.history.energy_brake_joules,veh.history.cyc_met,veh.history.cyc_met_overall,veh.history.speed_ach_meters_per_second,veh.history.dist_meters,veh.history.grade_curr,veh.history.air_density_kilograms_per_cubic_meter,veh.history.mass_kilograms,cyc.time_seconds,cyc.speed_meters_per_second,cyc.dist_meters,cyc.grade,cyc.elev_meters,cyc.pwr_max_chrg_watts
20,22450.0,21750.0,0.12,0.0,0.0,700.0,14000.0,5833.333333333334,116666.66666666664,5833.333333333334,116666.66666666664,true,20.0,20,0.875,0.0,0.0,0.0,0.0,0.0,20,21750.0,0.0,0.0,0.0,0.0,700.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,20.0,0.0,0.0,0.0,121.92,0.0
21,22450.0,21750.0,0.1696,1808.3311945551493,1808.3311945551493,700.0,14700.0,14789.688647141213,131456.35531380784,12981.357452586064,129648.0241192527,true,21.0,21,0.875,1582.2897952357557,1808.3311945551493,226.04139931939358,0.0,0.0,21,21750.0,0.0,1582.2897952357557,1582.2897952357557,1582.2897952357557,700.0,14700.0,0.1507348699615692,0.1507348699615692,1478.7445436315438,1478.7445436315438,0.0,0.0,75.63844389482165,75.63844389482165,27.75607283942872,27.75607283942872,-1582.2897952357557,-1582.2897952357557,true,true,1.341141759,1.341141759,0.0,1.2,1644.2724500334996,21.0,1.341141759,1.341141759,0.0,121.92,0.0
22,24258.33119455515,23558.33119455515,0.23500000000000001,5198.444250380385,7006.775444935534,700.0,15400.0,25099.762767576103,156556.11808138393,19901.31851719572,149549.34263644842,true,22.0,22,0.875,4548.638719082836,5198.444250380385,649.8055312975484,0.0,0.0,22,23558.33119455515,0.0,4548.638719082836,4548.638719082836,6130.928514318592,700.0,15400.0,3.9356818698463263,4.086416739807896,4240.710738200853,5719.455281832396,0.0,0.0,224.3940501818252,300.03249407664686,79.59824883031244,107.35432166974117,-4548.638719082836,-6130.928514318592,true,true,2.637578792,3.978720551,0.0,1.2,1644.2724500334996,22.0,2.637578792,3.978720551,0.0,121.92,0.0
23,27648.444250380384,26948.444250380384,0.28625,7926.723740424136,14933.49918535967,700.0,16100.0,30137.026167420558,186693.14424880448,22210.302426996423,171759.64506344486,true,23.0,23,0.875,6935.883272871119,7926.723740424136,990.8404675530173,0.0,0.0,23,26948.444250380384,0.0,6935.883272871119,6935.883272871119,13066.81178718971,700.0,16100.0,17.01978120805835,21.106197947866246,6432.538762775781,12151.994044608178,0.0,0.0,365.5858120737068,665.6183061503536,120.7389168135726,228.09323848331377,-6935.883272871119,-13066.81178718971,true,true,3.844606375,7.823326926,0.0,1.2,1644.2724500334996,23.0,3.844606375,7.823326926,0.0,121.92,0.0
24,30376.723740424135,29676.723740424135,0.3175,11781.960415851006,26715.459601210678,700.0,16800.0,39313.261152286635,226006.40540109112,27531.30073643563,199290.9457998805,true,24.0,24,0.875,10309.21536386963,11781.960415851006,1472.7450519813756,0.0,0.0,24,29676.723740424135,0.0,10309.21536386963,10309.21536386963,23376.02715105934,700.0,16800.0,45.335471659438724,66.44166960730497,9577.335486630982,21729.32953123916,0.0,0.0,506.7775739655883,1172.395880115942,179.7668316136226,407.8600700969364,-10309.21536386963,-23376.02715105934,true,true,5.141043408,12.964370334,0.0,1.2,1644.2724500334996,24.0,5.141043408,12.964370334,0.0,121.92,0.0
25,34231.960415851005,33531.960415851005,0.335,14672.62252546149,41388.08212667217,700.0,17500.0,45888.42544913877,271894.8308502299,31215.802923677278,230506.74872355777,true,25.0,25,0.875,12838.544709778804,14672.62252546149,1834.0778156826855,0.0,0.0,25,33531.960415851005,0.0,12838.544709778804,12838.544709778804,36214.57186083814,700.0,17500.0,95.87581836348754,162.3174879707925,11869.389529590659,33598.71906082982,0.0,0.0,650.4906173037111,1822.886497419653,222.788744520946,630.6488146178824,-12838.544709778804,-36214.57186083814,true,true,6.392775716,19.35714605,0.0,1.2,1644.2724500334996,25.0,6.392775716,19.35714605,0.0,121.92,0.0
26,37122.62252546149,36422.62252546149,0.345,16611.18659073493,57999.2687174071,700.0,18200.0,50177.35243691285,322072.1832871427,33566.165846177915,264072.9145697357,true,26.0,26,0.875,14534.788266893065,16611.18659073493,2076.398323841866,0.0,0.0,26,36422.62252546149,0.0,14534.788266893065,14534.788266893065,50749.36012773121,700.0,18200.0,169.5562286331612,331.8737166039537,13328.417485452268,46927.13654628208,0.0,0.0,786.6398163031103,2609.5263137227635,250.17473650452703,880.8235511224094,-14534.788266893065,-50749.36012773121,true,true,7.555098574,26.912244624,0.0,1.2,1644.2724500334996,26.0,7.555098574,26.912244624,0.0,121.92,0.0
27,39061.18659073493,38361.18659073493,0.196,3857.6908984664083,61856.959615873515,700.0,18900.0,23253.52499217555,345325.7082793183,19395.83409370914,283468.7486634448,true,27.0,27,0.875,3375.4795361581073,3857.6908984664083,482.211362308301,0.0,0.0,27,38361.18659073493,0.0,3375.4795361581073,3375.4795361581073,54124.83966388932,700.0,18900.0,223.32034202459195,555.1940586285457,2247.691703276772,49174.82824955886,0.0,0.0,862.278260197932,3471.8045739206955,42.1892306588113,923.0127817812207,-3375.4795361581073,-54124.83966388932,true,true,7.733917475,34.646162099,0.0,1.2,1644.2724500334996,27.0,7.733917475,34.646162099,0.0,121.92,0.0
28,26307.690898466408,25607.690898466408,0.265,6720.744135987964,68577.70375186148,700.0,19600.0,28002.80806033194,373328.51633965026,21282.063924343976,304750.8125877888,true,28.0,28,0.875,5880.651118989468,6720.744135987964,840.0930169984958,0.0,0.0,28,25607.690898466408,0.0,5880.651118989468,5880.651118989468,60005.490782878784,700.0,19600.0,247.66221466551207,802.8562732940577,4653.116157521396,53827.94440708026,0.0,0.0,892.5336377220215,4364.3382116427165,87.33910908053836,1010.3518908617591,-5880.651118989468,-60005.490782878784,true,true,8.091555277,42.737717376,0.0,1.2,1644.2724500334996,28.0,8.091555277,42.737717376,0.0,121.92,0.0
29,29170.744135987963,28470.744135987963,0.35333333333333333,20789.201120358895,89366.90487222037,700.0,20300.0,60818.493736864795,434147.010076515,40029.2926165059,344780.10520429467,true,29.0,29,0.875,18190.550980314034,20789.201120358895,2598.6501400448615,0.0,0.0,29,28470.744135987963,0.0,18190.550980314034,18190.550980314034,78196.04176319281,700.0,20300.0,326.0957531679815,1128.9520264620392,16575.083283264168,70403.02769034443,0.0,0.0,978.2572074582062,5342.595419100922,311.11473642367656,1321.4666272854356,-18190.550980314034,-78196.04176319281,true,true,9.253878135,51.991595511,0.0,1.2,1644.2724500334996,29.0,9.253878135,51.991595511,0.0,121.92,0.0
